,andere,bus,cabrio,coupe,kleinwagen,kombi,limousine,suv
alfa_romeo,3378.57,,9290.1,6999.87,4546.08,3627.79,3178.66,
audi,6053.97,3485.0,13544.67,16620.16,7516.38,8921.43,7379.82,24757.6
bmw,2897.96,28110.47,11934.09,8910.84,4541.25,7704.92,8002.55,16109.62
chevrolet,10659.85,6307.57,24026.62,16445.5,3034.88,5130.18,5647.69,10006.04
chrysler,9696.36,2762.99,4511.74,9361.47,3124.83,4927.94,4411.08,6156.0
citroen,3749.45,4444.1,4616.7,2768.41,3067.82,3796.79,4382.36,10810.54
dacia,4450.0,8606.7,,,4922.88,4183.24,3460.79,9807.59
daewoo,993.8,1262.78,900.0,428.62,1122.89,834.09,1002.72,1900.0
daihatsu,1290.0,1272.18,7761.0,,1492.26,3634.06,3532.11,2201.72
fiat,3653.25,4087.47,6663.32,4001.56,2541.11,2131.01,2566.38,8527.0
ford,4352.54,6088.72,5584.54,8491.5,2299.21,3188.49,3597.27,11663.75
honda,2417.0,4607.15,5721.77,3200.77,2911.53,5352.62,4175.46,7940.2
hyundai,3435.57,4963.29,550.0,5002.36,3462.92,8412.96,4868.79,8665.97
jaguar,,,51938.77,28078.65,18500.0,8315.94,8474.28,
jeep,12650.0,7000.0,2700.0,,,,,11407.76
kia,3603.17,3698.86,10000.0,6387.67,4531.01,3288.14,4888.49,10270.18
lada,3925.0,3500.0,5000.0,,1058.17,1460.57,2916.45,3820.83
lancia,,5204.72,12305.0,6829.46,1531.55,2229.8,6074.67,
land_rover,7280.0,,2675.0,,,2783.33,875.0,17551.73
mazda,2010.25,3914.35,5567.89,3248.43,2616.34,4000.25,3332.56,12915.98
mercedes_benz,5890.53,9594.21,15946.42,10768.06,2341.24,6958.13,6912.33,17061.58
mini,6581.75,7616.67,13424.87,9538.19,8569.31,12179.83,10401.22,19103.49
mitsubishi,2329.35,1858.63,5344.4,3182.29,2136.04,1824.91,3465.65,7306.81
nissan,6233.38,4444.58,9001.33,10722.71,2221.32,2071.57,5208.36,9781.06
opel,2755.31,4479.71,4535.14,3562.68,2114.7,3378.38,2995.29,7693.69
peugeot,3361.25,5124.4,4608.59,6936.61,2136.24,3431.8,3278.1,11945.44
porsche,54076.47,,40335.38,54009.77,140.0,,56385.51,26941.73
renault,2978.37,3151.98,4236.59,6263.12,1791.62,3094.87,2361.65,9380.6
rover,2818.25,450.0,3074.1,843.86,1176.54,2245.08,1341.88,12035.71
saab,1433.0,,5825.61,2460.42,2350.0,3876.55,3344.51,11499.25
seat,3301.81,7106.26,,5743.11,3080.75,7053.0,5967.36,8711.75
skoda,4706.08,6649.81,7722.5,3533.0,4421.36,7391.59,5367.24,14389.94
smart,3210.0,1650.0,4688.94,3885.86,3343.09,1705.56,2944.25,
sonstige_autos,5377.58,5662.68,24250.49,35638.68,5223.09,7249.79,11978.99,14468.58
subaru,2616.67,3557.76,8900.0,10418.62,1799.7,3606.7,7786.49,4956.03
suzuki,3598.57,1832.93,2375.34,3717.14,3536.15,1619.76,4624.52,5443.77
toyota,6025.5,6275.08,5954.54,5566.33,3784.97,5765.78,4884.02,10233.57
trabant,3775.8,,5960.58,4366.67,2162.98,1746.04,1597.07,14500.0
volkswagen,4236.72,9277.48,6714.34,8711.09,2627.37,5029.32,5464.83,16108.4
volvo,13640.0,,10665.8,6213.53,3912.71,3684.22,5140.53,15377.87
